version,B,T,N,runtime
multithread_reduction,1,64, 1000000000,8.017313
onethreadperblock,1,64, 1000000000,509.422272
multithread,1,64, 1000000000,7.985477
multithread_shared,1,64, 1000000000,8.073984
multithread_reduction,1,64, 1000000000,8.031527
onethreadperblock,1,64, 1000000000,509.932190
multithread,1,64, 1000000000,8.067746
multithread_shared,1,64, 1000000000,8.007945
multithread_reduction,1,64, 1000000000,8.007004
onethreadperblock,1,64, 1000000000,509.312683
multithread,1,64, 1000000000,8.027798
multithread_shared,1,64, 1000000000,8.084304
multithread_reduction,1,64, 1000000000,8.031433
onethreadperblock,1,64, 1000000000,509.300903
multithread,1,64, 1000000000,8.011388
multithread_shared,1,64, 1000000000,8.039447
multithread_reduction,1,64, 1000000000,7.999560
onethreadperblock,1,128, 1000,0.042450
multithread,1,128, 1000,0.042769
multithread_shared,1,128, 1000,0.042586
multithread_reduction,1,128, 1000,0.042486
onethreadperblock,1,128, 1000,0.045120
multithread,1,128, 1000,0.041922
multithread_shared,1,128, 1000,0.042680
multithread_reduction,1,128, 1000,0.042379
onethreadperblock,1,128, 1000,0.045467
multithread,1,128, 1000,0.042723
multithread_shared,1,128, 1000,0.042819
multithread_reduction,1,128, 1000,0.042694
onethreadperblock,1,128, 1000,0.044906
multithread,1,128, 1000,0.062014
multithread_shared,1,128, 1000,0.042794
multithread_reduction,1,128, 1000,0.044541
onethreadperblock,1,128, 1000,0.061043
multithread,1,128, 1000,0.042620
multithread_shared,1,128, 1000,0.042315
multithread_reduction,1,128, 1000,0.042402
onethreadperblock,1,128, 10000,0.048639
multithread,1,128, 10000,0.043790
multithread_shared,1,128, 10000,0.042770
multithread_reduction,1,128, 10000,0.068472
onethreadperblock,1,128, 10000,0.049550
multithread,1,128, 10000,0.042798
multithread_shared,1,128, 10000,0.075465
multithread_reduction,1,128, 10000,0.071376
onethreadperblock,1,128, 10000,0.064334
multithread,1,128, 10000,0.047619
multithread_shared,1,128, 10000,0.042317
multithread_reduction,1,128, 10000,0.073630
onethreadperblock,1,128, 10000,0.047946
multithread,1,128, 10000,0.042713
multithread_shared,1,128, 10000,0.042961
multithread_reduction,1,128, 10000,0.044309
onethreadperblock,1,128, 10000,0.047805
multithread,1,128, 10000,0.041928
multithread_shared,1,128, 10000,0.042224
multithread_reduction,1,128, 10000,0.043331
onethreadperblock,1,128, 100000,0.094613
multithread,1,128, 100000,0.043678
multithread_shared,1,128, 100000,0.061029
multithread_reduction,1,128, 100000,0.043496
onethreadperblock,1,128, 100000,0.093196
multithread,1,128, 100000,0.063832
multithread_shared,1,128, 100000,0.062054
multithread_reduction,1,128, 100000,0.043625
onethreadperblock,1,128, 100000,0.092763
multithread,1,128, 100000,0.062075
multithread_shared,1,128, 100000,0.042468
multithread_reduction,1,128, 100000,0.042754
onethreadperblock,1,128, 100000,0.092829
multithread,1,128, 100000,0.062816
multithread_shared,1,128, 100000,0.042518
multithread_reduction,1,128, 100000,0.042397
onethreadperblock,1,128, 100000,0.092786
multithread,1,128, 100000,0.042445
multithread_shared,1,128, 100000,0.042379
multithread_reduction,1,128, 100000,0.043133
onethreadperblock,1,128, 1000000,0.549573
multithread,1,128, 1000000,0.067023
multithread_shared,1,128, 1000000,0.064307
multithread_reduction,1,128, 1000000,0.046611
onethreadperblock,1,128, 1000000,0.566149
multithread,1,128, 1000000,0.048732
multithread_shared,1,128, 1000000,0.047657
multithread_reduction,1,128, 1000000,0.046877
onethreadperblock,1,128, 1000000,0.547196
multithread,1,128, 1000000,0.052154
multithread_shared,1,128, 1000000,0.077792
multithread_reduction,1,128, 1000000,0.064865
onethreadperblock,1,128, 1000000,0.549929
multithread,1,128, 1000000,0.066038
multithread_shared,1,128, 1000000,0.077997
multithread_reduction,1,128, 1000000,0.048071
onethreadperblock,1,128, 1000000,0.600061
multithread,1,128, 1000000,0.046684
multithread_shared,1,128, 1000000,0.047021
multithread_reduction,1,128, 1000000,0.057001
onethreadperblock,1,128, 10000000,5.139322
multithread,1,128, 10000000,0.112702
multithread_shared,1,128, 10000000,0.095134
multithread_reduction,1,128, 10000000,0.097619
onethreadperblock,1,128, 10000000,5.154602
multithread,1,128, 10000000,0.123911
multithread_shared,1,128, 10000000,0.112835
multithread_reduction,1,128, 10000000,0.098536
onethreadperblock,1,128, 10000000,5.182135
multithread,1,128, 10000000,0.113501
multithread_shared,1,128, 10000000,0.113012
multithread_reduction,1,128, 10000000,0.096229
onethreadperblock,1,128, 10000000,5.172534
multithread,1,128, 10000000,0.118196
multithread_shared,1,128, 10000000,0.112693
multithread_reduction,1,128, 10000000,0.095120
onethreadperblock,1,128, 10000000,5.173945
multithread,1,128, 10000000,0.115942
multithread_shared,1,128, 10000000,0.100790
multithread_reduction,1,128, 10000000,0.121087
onethreadperblock,1,128, 100000000,51.077759
multithread,1,128, 100000000,0.605550
multithread_shared,1,128, 100000000,0.592021
multithread_reduction,1,128, 100000000,0.584037
onethreadperblock,1,128, 100000000,51.046810
multithread,1,128, 100000000,0.616646
multithread_shared,1,128, 100000000,0.580194
multithread_reduction,1,128, 100000000,0.586356
onethreadperblock,1,128, 100000000,50.931179
multithread,1,128, 100000000,0.607417
multithread_shared,1,128, 100000000,0.594005
multithread_reduction,1,128, 100000000,0.585450
onethreadperblock,1,128, 100000000,51.055466
multithread,1,128, 100000000,0.606280
multithread_shared,1,128, 100000000,0.584157
multithread_reduction,1,128, 100000000,0.592819
onethreadperblock,1,128, 100000000,51.144859
multithread,1,128, 100000000,0.607254
multithread_shared,1,128, 100000000,0.605392
multithread_reduction,1,128, 100000000,0.602073
onethreadperblock,1,128, 1000000000,509.155853
multithread,1,128, 1000000000,5.500570
multithread_shared,1,128, 1000000000,5.509387
multithread_reduction,1,128, 1000000000,5.522033
onethreadperblock,1,128, 1000000000,510.310791
multithread,1,128, 1000000000,5.542522
multithread_shared,1,128, 1000000000,5.495818
multithread_reduction,1,128, 1000000000,5.493967
onethreadperblock,1,128, 1000000000,509.843964
multithread,1,128, 1000000000,5.465760
multithread_shared,1,128, 1000000000,5.522775
multithread_reduction,1,128, 1000000000,5.516316
onethreadperblock,1,128, 1000000000,509.389069
multithread,1,128, 1000000000,5.517843
multithread_shared,1,128, 1000000000,5.513213
multithread_reduction,1,128, 1000000000,5.514875
onethreadperblock,1,128, 1000000000,509.865967
multithread,1,128, 1000000000,5.534987
multithread_shared,1,128, 1000000000,5.517928
multithread_reduction,1,128, 1000000000,5.498900
onethreadperblock,1,256, 1000,0.057862
multithread,1,256, 1000,0.062319
multithread_shared,1,256, 1000,0.061697
multithread_reduction,1,256, 1000,0.060718
onethreadperblock,1,256, 1000,0.061231
multithread,1,256, 1000,0.059312
multithread_shared,1,256, 1000,0.042412
multithread_reduction,1,256, 1000,0.043044
onethreadperblock,1,256, 1000,0.044576
multithread,1,256, 1000,0.044551
multithread_shared,1,256, 1000,0.042846
multithread_reduction,1,256, 1000,0.043487
onethreadperblock,1,256, 1000,0.043588
multithread,1,256, 1000,0.042170
multithread_shared,1,256, 1000,0.059549
multithread_reduction,1,256, 1000,0.042699
onethreadperblock,1,256, 1000,0.043073
